"","season","name","team","age","w","l","g","gs","sv","bs","ip","babip","h","r","er","hr","bb","so","fip","war","player_id","year_in_mlb","sum_yrs"
"205",1892,"Ben Sanders","LOU",27,12,19,31,31,0,NA,268.1,0.288,281,150,96,6,62,77,2.94,3.1,1011413,5,15
"206",2001,"Ben Sheets","MIL",22,11,10,25,25,0,NA,151.1,0.296,166,89,80,23,48,94,4.83,1.3,710,1,15
"207",2002,"Ben Sheets","MIL",23,11,16,34,34,0,0,216.2,0.326,237,105,100,21,70,170,3.76,3.8,710,2,15
"208",2003,"Ben Sheets","MIL",24,11,13,34,34,0,0,220.2,0.292,232,122,109,29,43,157,3.98,3.8,710,3,15
"209",2004,"Ben Sheets","MIL",25,12,14,34,34,0,0,237,0.288,201,85,71,25,32,264,2.65,8,710,4,15
"210",2005,"Ben Sheets","MIL",26,10,9,22,22,0,0,156.2,0.276,142,66,58,19,25,141,3.31,3.7,710,5,15
"211",2006,"Ben Sheets","MIL",27,6,7,17,17,0,0,106,0.329,105,47,45,9,11,116,2.43,4,710,6,55
"212",2007,"Ben Sheets","MIL",28,12,5,24,24,0,0,141.1,0.281,138,62,60,17,37,106,4.11,2.5,710,7,55
"213",2008,"Ben Sheets","MIL",29,13,9,31,31,0,0,198.1,0.278,181,74,68,17,47,158,3.38,4.8,710,8,55
"214",2010,"Ben Sheets","OAK",31,4,9,20,20,0,0,119.1,0.287,123,65,60,18,43,84,4.71,0.7,710,9,55
"215",2012,"Ben Sheets","ATL",33,4,4,9,9,0,0,49.1,0.303,52,21,19,6,13,35,4.11,0.3,710,10,55
"216",1915,"Bernie Boland","DET",23,13,7,45,18,2,NA,202.2,0.248,167,86,70,2,75,72,2.94,1.9,1001137,1,15
"217",1916,"Bernie Boland","DET",24,10,3,46,9,3,NA,130.1,0.274,111,69,57,1,73,59,3.28,0.2,1001137,2,15
"218",1917,"Bernie Boland","DET",25,16,11,43,28,6,NA,238,0.252,192,89,71,0,95,89,2.79,2.4,1001137,3,15
"219",1918,"Bernie Boland","DET",26,14,10,29,25,0,NA,204,0.251,176,69,60,1,67,63,2.75,2.3,1001137,4,15
"220",1919,"Bernie Boland","DET",27,14,16,35,30,1,NA,242.2,0.269,222,93,82,7,80,71,3.3,2,1001137,5,15
"221",1892,"Bert Abbey","WAS",22,5,18,27,23,1,NA,195.2,0.296,207,139,75,7,76,77,3.37,1.7,1000006,1,15
"222",1893,"Bert Abbey","CHI",23,2,4,7,7,0,NA,56,0.325,74,52,34,1,20,6,4.46,0.7,1000006,2,15
"223",1894,"Bert Abbey","CHI",24,2,7,11,11,0,NA,92,0.33,119,74,53,3,37,24,5.04,1.3,1000006,3,15
"224",1895,"Bert Abbey","- - -",25,5,3,9,7,0,NA,60,0.333,76,42,29,0,11,17,3.71,1,1000006,4,15
"225",1896,"Bert Abbey","BRO",26,8,8,25,18,0,NA,164.1,0.323,210,135,94,7,48,37,4.4,1,1000006,5,15
"226",1970,"Bert Blyleven","MIN",19,10,9,27,25,0,NA,164,0.266,143,66,58,17,47,135,3.24,3.6,1001098,1,15
"227",1971,"Bert Blyleven","MIN",20,16,15,38,38,0,NA,278.1,0.301,267,95,87,21,59,224,2.51,7.5,1001098,2,15
"228",1972,"Bert Blyleven","MIN",21,17,17,39,38,0,NA,287.1,0.271,247,93,87,22,69,228,2.63,5.9,1001098,3,15
"229",1973,"Bert Blyleven","MIN",22,20,17,40,40,0,NA,325,0.288,296,109,91,16,67,258,2.32,10.8,1001098,4,15
"230",1974,"Bert Blyleven","MIN",23,17,17,37,37,0,NA,281,0.288,244,99,83,14,77,249,2.37,8.1,1001098,5,15
"231",1975,"Bert Blyleven","MIN",24,15,10,35,35,0,NA,275.2,0.257,219,104,92,24,84,233,2.99,6.2,1001098,6,55
"232",1976,"Bert Blyleven","- - -",25,13,16,36,36,0,NA,297.2,0.299,283,106,95,14,81,219,2.71,6.7,1001098,7,55
"233",1977,"Bert Blyleven","TEX",26,14,12,30,30,0,NA,234.2,0.245,181,81,71,20,69,182,3.27,4.9,1001098,8,55
"234",1978,"Bert Blyleven","PIT",27,14,10,34,34,0,NA,243.2,0.27,217,94,82,17,66,182,2.88,5.2,1001098,9,55
"235",1979,"Bert Blyleven","PIT",28,12,5,37,37,0,NA,237.1,0.298,238,102,95,21,92,172,3.67,3.4,1001098,10,55
"236",1899,"Bill Bernhard","PHI",28,6,6,21,12,0,NA,132.1,0.25,120,66,39,3,36,23,3.7,1,1000891,1,15
"237",1900,"Bill Bernhard","PHI",29,15,10,32,27,2,NA,218.2,0.331,284,151,116,3,74,49,3.57,2.2,1000891,2,15
"238",1901,"Bill Bernhard","PHA",30,17,10,31,27,0,NA,257,0.326,328,169,129,6,50,58,3.36,3.7,1000891,3,15
"239",1902,"Bill Bernhard","- - -",31,18,5,28,25,1,NA,226,0.229,176,79,54,4,37,58,2.87,3.2,1000891,4,15
"240",1903,"Bill Bernhard","CLE",32,14,6,20,19,0,NA,165.2,0.269,151,62,39,1,21,60,2.49,2.4,1000891,5,15
"241",1898,"Bill Dineen","WAS",22,9,16,29,27,0,NA,218.1,0.303,238,140,97,6,88,83,3.57,1.9,1003317,1,15
"242",1899,"Bill Dineen","WAS",23,14,20,37,35,0,NA,291,0.32,350,191,127,6,106,91,3.67,3.3,1003317,2,15
"243",1900,"Bill Dineen","BSN",24,20,14,40,37,0,NA,320.2,0.269,304,161,111,11,105,107,3.59,4.1,1003317,3,15
"244",1901,"Bill Dineen","BSN",25,15,18,37,34,0,NA,309.1,0.282,295,136,101,8,77,141,3.1,4.2,1003317,4,15
"245",1902,"Bill Dineen","BOS",26,21,21,42,42,0,NA,371.1,0.271,348,155,121,9,99,136,3.05,5,1003317,5,15
"246",1903,"Bill Dineen","BOS",27,21,13,37,34,2,NA,299,0.264,255,98,75,6,66,148,2.69,3.7,1003317,6,55
"247",1904,"Bill Dineen","BOS",28,23,14,37,37,0,NA,335.2,0.257,283,115,82,8,63,153,2.38,4.2,1003317,7,55
"248",1905,"Bill Dineen","BOS",29,12,14,31,29,1,NA,243.2,0.279,235,117,101,7,50,97,2.71,2.5,1003317,8,55
"249",1906,"Bill Dineen","BOS",30,8,19,28,27,0,NA,218.2,0.269,209,101,71,4,52,60,2.77,1.7,1003317,9,55
"250",1907,"Bill Dineen","- - -",31,7,14,29,21,4,NA,188,0.279,195,92,61,8,41,46,2.9,0.1,1003317,10,55
"251",1895,"Bill Hoffer","BAL",24,31,6,41,38,0,NA,314,0.263,296,146,112,9,124,80,4.77,3.3,1005899,1,15
"252",1896,"Bill Hoffer","BAL",25,25,7,35,35,0,NA,309,0.289,317,151,116,1,95,93,3.79,4.7,1005899,2,15
"253",1897,"Bill Hoffer","BAL",26,22,11,38,33,0,NA,303.1,0.303,350,188,145,5,104,62,4.16,3.1,1005899,3,15
"254",1898,"Bill Hoffer","- - -",27,3,4,8,7,0,NA,65.1,0.343,88,51,34,0,31,16,3.7,0.5,1005899,4,15
"255",1899,"Bill Hoffer","PIT",28,8,10,23,19,0,NA,163.2,0.282,169,98,66,5,64,44,3.97,1,1005899,5,15
"256",1934,"Bill Lee","CHC",24,13,14,35,29,1,NA,214.1,0.29,218,91,81,9,74,104,3.76,3,1007447,1,15
"257",1935,"Bill Lee","CHC",25,20,6,39,32,1,NA,252,0.268,241,106,83,11,84,100,3.89,3,1007447,2,15
"258",1936,"Bill Lee","CHC",26,18,11,43,33,1,NA,258.2,0.258,238,106,95,14,93,102,4.29,2.6,1007447,3,15
"259",1937,"Bill Lee","CHC",27,14,15,42,33,3,NA,272.1,0.289,289,122,107,14,73,108,3.72,3.8,1007447,4,15
"260",1938,"Bill Lee","CHC",28,22,9,44,37,2,NA,291,0.269,281,95,86,18,74,121,3.68,4.4,1007447,5,15
"261",1939,"Bill Lee","CHC",29,19,15,37,36,0,NA,282.1,0.279,295,125,108,18,85,105,3.97,3.5,1007447,6,55
"262",1940,"Bill Lee","CHC",30,9,17,37,30,0,NA,211.1,0.303,246,129,118,12,70,70,3.93,2.2,1007447,7,55
"263",1941,"Bill Lee","CHC",31,8,14,28,22,1,NA,167.1,0.284,179,87,70,6,43,62,3.2,2.7,1007447,8,55
"264",1942,"Bill Lee","CHC",32,13,13,32,30,0,NA,219.2,0.274,221,99,94,4,67,75,2.9,3.8,1007447,9,55
"265",1943,"Bill Lee","- - -",33,4,12,26,19,3,NA,139,0.287,153,72,62,8,48,35,3.71,0.6,1007447,10,55
"266",1958,"Bill Monbouquette","BOS",21,3,4,10,8,0,NA,54.1,0.271,52,25,20,4,20,30,3.43,1,1009048,1,15
"267",1959,"Bill Monbouquette","BOS",22,7,7,34,17,0,NA,151.2,0.304,165,86,70,15,33,87,3.39,2.9,1009048,2,15
"268",1960,"Bill Monbouquette","BOS",23,14,11,35,30,0,NA,215,0.29,217,91,87,18,68,134,3.35,4.6,1009048,3,15
"269",1961,"Bill Monbouquette","BOS",24,14,14,32,32,0,NA,236.1,0.281,233,106,89,24,100,161,3.8,4.1,1009048,4,15
"270",1962,"Bill Monbouquette","BOS",25,15,13,35,35,0,NA,235.1,0.277,227,100,87,22,65,153,3.4,5.2,1009048,5,15
"271",1963,"Bill Monbouquette","BOS",26,20,10,37,36,0,NA,266.2,0.269,258,119,113,31,42,174,3.16,5.4,1009048,6,55
"272",1964,"Bill Monbouquette","BOS",27,13,14,36,35,1,NA,234,0.283,258,114,105,34,40,120,3.99,3,1009048,7,55
"273",1965,"Bill Monbouquette","BOS",28,10,18,35,35,0,NA,228.2,0.27,239,114,94,32,40,110,3.91,2.8,1009048,8,55
"274",1966,"Bill Monbouquette","DET",29,7,8,30,14,0,NA,102.2,0.308,120,60,54,14,22,61,3.87,0.7,1009048,9,55
"275",1967,"Bill Monbouquette","- - -",30,6,5,35,10,1,NA,135.1,0.259,123,39,35,6,17,55,2.77,2.1,1009048,10,55
"276",1890,"Bill Phillips","PIT",21,1,9,10,10,0,NA,82,0.358,123,97,69,8,29,25,4.69,-0.3,1010282,1,15
"277",1895,"Bill Phillips","CIN",26,6,7,18,9,2,NA,109,0.291,126,90,73,6,44,15,5.38,0.6,1010282,2,15
"278",1899,"Bill Phillips","CIN",30,17,9,33,27,1,NA,227.2,0.278,234,121,84,3,71,43,3.66,2.4,1010282,3,15
"279",1900,"Bill Phillips","CIN",31,9,11,29,24,0,NA,208.1,0.295,229,140,99,5,67,51,3.61,1.9,1010282,4,15
"280",1901,"Bill Phillips","CIN",32,14,18,37,36,0,NA,281.1,0.343,364,196,145,7,67,109,3.19,3,1010282,5,15
"281",1918,"Bill Sherdel","STL",21,6,12,35,16,0,NA,182.1,0.263,174,78,55,3,49,40,2.86,1.1,1011869,1,15
"282",1919,"Bill Sherdel","STL",22,5,9,36,10,1,NA,137.1,0.286,137,66,53,3,42,52,2.97,0.9,1011869,2,15
"283",1920,"Bill Sherdel","STL",23,11,10,43,7,6,NA,170,0.319,183,72,62,1,40,74,2.86,1.7,1011869,3,15
"284",1921,"Bill Sherdel","STL",24,9,8,38,8,1,NA,144.1,0.257,137,62,51,7,38,57,3.8,1,1011869,4,15
"285",1922,"Bill Sherdel","STL",25,17,13,47,31,2,NA,242,0.309,298,132,104,12,62,79,3.83,2.8,1011869,5,15
"286",1923,"Bill Sherdel","STL",26,15,13,39,26,2,NA,225,0.303,270,127,108,15,59,78,3.97,2.1,1011869,6,55
"287",1924,"Bill Sherdel","STL",27,8,9,35,10,1,NA,168.2,0.298,188,77,64,9,38,57,3.82,1.6,1011869,7,55
"288",1925,"Bill Sherdel","STL",28,15,6,32,21,1,NA,200,0.285,216,77,69,8,42,53,3.77,3.1,1011869,8,55
"289",1926,"Bill Sherdel","STL",29,16,12,34,29,0,NA,234.2,0.278,255,103,91,15,49,59,3.93,2.5,1011869,9,55
"290",1927,"Bill Sherdel","STL",30,17,12,39,28,6,NA,232.1,0.265,241,109,91,17,48,59,4.13,2.1,1011869,10,55
"291",1932,"Bill Swift","PIT",24,14,10,39,23,4,NA,214.1,0.251,205,97,86,15,26,64,3.72,2.7,1012787,1,15
"292",1933,"Bill Swift","PIT",25,14,10,37,29,0,NA,218.1,0.255,214,96,76,11,36,64,3.42,2.8,1012787,2,15
"293",1934,"Bill Swift","PIT",26,11,13,37,24,0,NA,212.2,0.296,244,107,94,15,46,81,4.04,2.4,1012787,3,15
"294",1935,"Bill Swift","PIT",27,15,8,39,21,1,NA,203.2,0.263,193,76,61,6,37,74,3.27,3.9,1012787,4,15
"295",1936,"Bill Swift","PIT",28,16,16,45,31,2,NA,262.1,0.272,275,132,117,18,63,92,4.23,2.9,1012787,5,15
"296",1952,"Billy Hoeft","DET",20,2,7,34,10,4,NA,125,0.27,123,66,60,14,63,67,4.41,0,1005893,1,15
"297",1953,"Billy Hoeft","DET",21,9,14,29,27,2,NA,197.2,0.29,223,113,106,24,58,90,4.2,2,1005893,2,15
"298",1954,"Billy Hoeft","DET",22,7,15,34,25,1,NA,175,0.286,180,93,89,22,59,114,3.81,1.8,1005893,3,15
"299",1955,"Billy Hoeft","DET",23,16,7,32,29,0,NA,220,0.251,187,75,73,17,75,133,3.23,4.4,1005893,4,15
"300",1956,"Billy Hoeft","DET",24,20,14,38,34,0,NA,248,0.321,276,127,112,22,104,172,3.45,4.6,1005893,5,15
"301",2016,"Blake Snell","TBR",23,6,8,19,19,0,0,89,0.356,93,44,35,5,51,98,3.39,1.8,13543,1,15
"302",2017,"Blake Snell","TBR",24,5,7,24,24,0,0,129.1,0.277,113,65,58,15,59,119,4.19,1.8,13543,2,15
"303",2018,"Blake Snell","TBR",25,21,5,31,31,0,0,180.2,0.241,112,41,38,16,64,221,2.95,4.7,13543,3,15
"304",2019,"Blake Snell","TBR",26,6,8,23,23,0,0,107,0.343,96,53,51,14,40,147,3.32,2.7,13543,4,15
"305",2020,"Blake Snell","TBR",27,4,2,11,11,0,0,50,0.286,42,19,18,10,18,63,4.35,0.6,13543,5,15
"306",1953,"Bob Buhl","MIL",24,13,8,30,18,0,NA,154.1,0.258,133,59,51,9,73,83,3.75,1.9,1001637,1,15
"307",1954,"Bob Buhl","MIL",25,2,7,31,14,3,NA,110.1,0.298,117,54,49,5,65,57,3.78,1,1001637,2,15
"308",1955,"Bob Buhl","MIL",26,13,11,38,27,1,NA,201.2,0.248,168,85,72,13,109,117,3.68,2.5,1001637,3,15
"309",1956,"Bob Buhl","MIL",27,18,8,38,33,0,NA,216.2,0.241,190,96,80,18,105,86,4.14,1,1001637,4,15
"310",1957,"Bob Buhl","MIL",28,18,7,34,31,0,NA,216.2,0.262,191,77,66,15,121,117,3.95,1.3,1001637,5,15
"311",1958,"Bob Buhl","MIL",29,5,2,11,10,1,NA,73,0.27,74,33,28,5,30,27,3.9,0.6,1001637,6,55
"312",1959,"Bob Buhl","MIL",30,15,9,31,25,0,NA,198,0.256,181,76,63,19,74,105,3.88,1.3,1001637,7,55
"313",1960,"Bob Buhl","MIL",31,16,9,36,33,0,NA,238.2,0.236,202,89,82,23,103,121,4.1,0.6,1001637,8,55
"314",1961,"Bob Buhl","MIL",32,9,10,32,28,0,NA,188.1,0.254,180,99,86,23,98,77,4.98,-0.5,1001637,9,55
"315",1962,"Bob Buhl","- - -",33,12,14,35,31,0,NA,214,0.269,210,113,92,23,98,110,4.44,1.6,1001637,10,55
"316",1884,"Bob Caruthers","STL",20,7,2,13,7,0,NA,82.2,0.255,61,34,24,1,15,58,2.57,1.2,1002026,1,15
"317",1885,"Bob Caruthers","STL",21,40,13,53,53,0,NA,482.1,0.267,430,196,111,3,57,190,2.53,7.6,1002026,2,15
"318",1886,"Bob Caruthers","STL",22,30,14,44,43,0,NA,387.1,0.257,323,164,100,3,86,166,3.01,5.8,1002026,3,15
"319",1887,"Bob Caruthers","STL",23,29,9,39,39,0,NA,341,0.272,337,185,125,6,61,74,3.61,5.1,1002026,4,15
"320",1888,"Bob Caruthers","BRO",24,29,15,44,43,0,NA,391.2,0.257,337,176,104,4,53,140,2.48,5.3,1002026,5,15
"321",1902,"Bob Ewing","CIN",29,5,6,15,12,0,NA,117.2,0.303,126,67,39,1,47,44,3.23,1.1,1003880,1,15
"322",1903,"Bob Ewing","CIN",30,14,13,29,28,1,NA,246.2,0.298,254,127,76,3,64,104,2.85,4.4,1003880,2,15
"323",1904,"Bob Ewing","CIN",31,11,13,26,24,0,NA,212,0.281,198,85,58,3,58,99,2.49,3.7,1003880,3,15
"324",1905,"Bob Ewing","CIN",32,20,11,40,34,0,NA,311.2,0.281,284,125,87,5,79,164,2.44,5.5,1003880,4,15
"325",1906,"Bob Ewing","CIN",33,13,14,33,32,0,NA,287.2,0.268,248,98,76,4,60,145,2.16,5.7,1003880,5,15
"326",1936,"Bob Feller","CLE",17,5,3,14,8,1,NA,62,0.338,52,29,23,1,47,76,3.49,1.5,1003975,1,15
"327",1937,"Bob Feller","CLE",18,9,7,26,19,1,NA,148.2,0.288,116,68,56,4,106,150,3.55,3.1,1003975,2,15
"328",1938,"Bob Feller","CLE",19,17,11,39,36,1,NA,277.2,0.272,225,136,126,13,208,240,4.13,4.4,1003975,3,15
"329",1939,"Bob Feller","CLE",20,24,9,39,35,1,NA,296.2,0.255,227,105,94,13,142,246,3.35,6.7,1003975,4,15
"330",1940,"Bob Feller","CLE",21,27,11,43,37,4,NA,320.1,0.256,245,102,93,13,118,261,2.88,7.6,1003975,5,15
"331",1941,"Bob Feller","CLE",22,25,13,44,40,2,NA,343,0.271,284,129,120,15,194,260,3.46,5.7,1003975,6,55
"332",1945,"Bob Feller","CLE",26,5,3,9,9,0,NA,72,0.241,50,21,20,1,35,59,2.62,1.4,1003975,7,55
"333",1946,"Bob Feller","CLE",27,26,15,48,42,4,NA,371.1,0.267,277,101,90,11,153,348,2.16,10,1003975,8,55
"334",1947,"Bob Feller","CLE",28,20,11,42,37,3,NA,299,0.244,230,97,89,17,127,196,3.24,4.6,1003975,9,55
"335",1948,"Bob Feller","CLE",29,19,15,44,38,3,NA,280.1,0.266,255,123,111,20,116,164,3.68,4.1,1003975,10,55
"336",1949,"Bob Feller","CLE",30,15,14,36,28,0,NA,211,0.264,198,104,88,18,84,108,3.8,2.8,1003975,11,120
"337",1950,"Bob Feller","CLE",31,16,11,35,34,0,NA,247,0.26,230,105,94,20,103,119,3.98,3.3,1003975,12,120
"338",1951,"Bob Feller","CLE",32,22,8,33,32,0,NA,249.2,0.263,239,105,97,22,95,111,3.96,2.2,1003975,13,120
"339",1952,"Bob Feller","CLE",33,9,13,30,30,0,NA,191.2,0.299,219,124,101,13,83,81,3.77,1.5,1003975,14,120
"340",1953,"Bob Feller","CLE",34,10,7,25,25,0,NA,175.2,0.253,163,78,70,16,60,60,4.17,1.4,1003975,15,120
"341",1974,"Bob Forsch","STL",24,7,4,19,14,0,NA,100,0.24,84,38,33,5,34,39,3.5,1.1,1004233,1,15
"342",1975,"Bob Forsch","STL",25,15,10,34,34,0,NA,230,0.261,213,89,73,14,70,108,3.39,3,1004233,2,15
"343",1976,"Bob Forsch","STL",26,8,10,33,32,0,NA,194,0.284,209,112,85,17,71,76,4.13,0.4,1004233,3,15
"344",1977,"Bob Forsch","STL",27,20,7,35,35,0,NA,217.1,0.261,210,97,84,20,69,95,4.05,2,1004233,4,15
"345",1978,"Bob Forsch","STL",28,11,17,34,34,0,NA,233.2,0.253,205,110,96,15,97,114,3.75,1.8,1004233,5,15
"346",1979,"Bob Forsch","STL",29,11,11,33,32,0,NA,218.2,0.272,215,102,93,16,52,92,3.6,2.8,1004233,6,55
"347",1980,"Bob Forsch","STL",30,11,10,31,31,0,NA,214.2,0.287,225,102,90,12,33,87,3.19,3.5,1004233,7,55
"348",1981,"Bob Forsch","STL",31,10,5,20,20,0,NA,124.1,0.236,106,47,44,7,29,41,3.47,1.4,1004233,8,55
"349",1982,"Bob Forsch","STL",32,15,9,36,34,1,NA,233,0.271,238,95,90,16,54,69,3.76,2.1,1004233,9,55
"350",1983,"Bob Forsch","STL",33,10,12,34,30,0,NA,187,0.255,190,104,89,23,54,56,4.67,-0.1,1004233,10,55
"351",1984,"Bob Forsch","STL",34,2,5,16,11,0,NA,52.1,0.31,64,38,35,6,19,21,4.55,0,1004233,11,120
"352",1985,"Bob Forsch","STL",35,9,6,34,19,2,NA,136,0.264,132,63,59,11,47,48,4.11,0.6,1004233,12,120
"353",1986,"Bob Forsch","STL",36,14,10,33,33,0,NA,230,0.257,211,91,83,19,68,104,3.85,2.2,1004233,13,120
"354",1987,"Bob Forsch","STL",37,11,7,33,30,0,NA,179,0.289,189,90,86,15,45,89,3.79,2.5,1004233,14,120
"355",1988,"Bob Forsch","- - -",38,10,8,36,18,0,NA,136.1,0.295,153,73,65,10,44,54,3.96,0.3,1004233,15,120
"356",1951,"Bob Friend","PIT",20,6,10,34,22,0,NA,149.2,0.295,173,94,71,12,68,41,4.34,1.5,1004355,1,15
"357",1952,"Bob Friend","PIT",21,7,17,35,23,0,NA,185,0.266,186,96,86,15,84,75,4.04,1.6,1004355,2,15
"358",1953,"Bob Friend","PIT",22,8,11,32,24,0,NA,170.2,0.29,193,103,93,18,57,66,4.24,2.2,1004355,3,15
"359",1954,"Bob Friend","PIT",23,7,12,35,20,2,NA,170.1,0.308,204,106,96,16,58,73,3.8,2.5,1004355,4,15
"360",1955,"Bob Friend","PIT",24,14,9,44,20,2,NA,200.1,0.249,178,80,63,18,52,98,3.37,3.8,1004355,5,15
"361",1956,"Bob Friend","PIT",25,17,17,49,42,3,NA,314.1,0.275,310,137,121,25,85,166,3.18,6.1,1004355,6,55
"362",1957,"Bob Friend","PIT",26,14,18,40,38,0,NA,277,0.27,273,121,104,28,68,143,3.49,4.2,1004355,7,55
"363",1958,"Bob Friend","PIT",27,22,14,38,38,0,NA,274,0.298,299,120,112,25,61,135,3.39,4.8,1004355,8,55
"364",1959,"Bob Friend","PIT",28,8,19,35,35,0,NA,234.2,0.298,267,129,105,19,52,104,3.46,3.7,1004355,9,55
"365",1960,"Bob Friend","PIT",29,18,12,38,37,1,NA,275.2,0.284,266,97,92,18,45,183,2.54,7.1,1004355,10,55
"366",1961,"Bob Friend","PIT",30,14,19,41,35,1,NA,236,0.308,271,119,101,16,45,108,3.15,4.9,1004355,11,120
"367",1962,"Bob Friend","PIT",31,18,14,39,36,1,NA,261.2,0.294,280,99,89,23,53,144,3.29,4.8,1004355,12,120
"368",1963,"Bob Friend","PIT",32,17,16,39,38,0,NA,268.2,0.255,236,87,70,13,44,144,2.58,5.7,1004355,13,120
"369",1964,"Bob Friend","PIT",33,13,18,35,35,0,NA,240.1,0.299,253,98,89,10,50,128,2.75,4.9,1004355,14,120
"370",1965,"Bob Friend","PIT",34,8,12,34,34,0,NA,222,0.265,221,89,80,17,47,74,3.59,2.2,1004355,15,120
"371",1959,"Bob Gibson","STL",23,3,5,13,9,0,NA,75.2,0.303,77,35,28,4,39,48,3.55,1.3,1004662,1,15
"372",1960,"Bob Gibson","STL",24,3,6,27,12,0,NA,86.2,0.328,97,61,54,7,48,69,3.68,1.1,1004662,2,15
"373",1961,"Bob Gibson","STL",25,13,12,35,27,1,NA,211.1,0.283,186,91,76,13,119,166,3.58,3.9,1004662,3,15
"374",1962,"Bob Gibson","STL",26,15,13,32,30,1,NA,233.2,0.249,174,84,74,15,95,208,3.02,6,1004662,4,15
"375",1963,"Bob Gibson","STL",27,18,9,36,33,0,NA,254.2,0.271,224,110,96,19,96,204,3.13,4.4,1004662,5,15
"376",1964,"Bob Gibson","STL",28,19,12,40,36,1,NA,287.1,0.272,250,106,96,25,86,245,3.02,5.8,1004662,6,55
"377",1965,"Bob Gibson","STL",29,20,12,38,36,1,NA,299,0.256,243,110,102,34,103,270,3.33,5.1,1004662,7,55
"378",1966,"Bob Gibson","STL",30,21,12,35,35,0,NA,280.1,0.24,210,90,76,20,78,225,2.76,6,1004662,8,55
"379",1967,"Bob Gibson","STL",31,13,7,24,24,0,NA,175.1,0.28,151,62,58,10,40,147,2.34,4.3,1004662,9,55
"380",1968,"Bob Gibson","STL",32,22,9,34,34,0,NA,304.2,0.23,198,49,38,11,62,268,1.77,8.6,1004662,10,55
"381",1969,"Bob Gibson","STL",33,20,13,35,35,0,NA,314,0.27,251,84,76,12,95,269,2.3,8.8,1004662,11,120
"382",1970,"Bob Gibson","STL",34,23,7,34,34,0,NA,294,0.299,262,111,102,13,88,274,2.29,9.8,1004662,12,120
"383",1971,"Bob Gibson","STL",35,16,13,31,31,0,NA,245.2,0.27,215,96,83,14,76,185,2.7,5.2,1004662,13,120
"384",1972,"Bob Gibson","STL",36,19,11,34,34,0,NA,278,0.263,226,83,76,14,88,208,2.54,6.4,1004662,14,120
"385",1973,"Bob Gibson","STL",37,12,10,25,25,0,NA,195,0.255,159,71,60,12,57,142,2.83,4.5,1004662,15,120
"386",1909,"Bob Groom","WAS",24,7,26,44,31,0,NA,260.2,0.263,218,114,83,2,105,131,2.52,1.1,1005081,1,15
"387",1910,"Bob Groom","WAS",25,12,17,34,30,0,NA,257.2,0.273,244,117,79,8,77,98,2.86,0.8,1005081,2,15
"388",1911,"Bob Groom","WAS",26,13,17,37,32,2,NA,254.2,0.317,280,148,108,9,67,135,2.96,3,1005081,3,15
"389",1912,"Bob Groom","WAS",27,24,13,43,40,1,NA,316,0.285,287,133,92,3,94,179,2.73,5,1005081,4,15
"390",1913,"Bob Groom","WAS",28,16,16,37,36,0,NA,264.1,0.298,258,118,95,8,81,156,2.69,3.6,1005081,5,15
"391",1909,"Bob Harmon","STL",21,6,11,21,17,0,NA,159,0.271,155,85,65,6,65,48,3.33,0,1005371,1,15
"392",1910,"Bob Harmon","STL",22,13,15,43,33,2,NA,236,0.281,227,128,117,1,133,87,3.33,0.9,1005371,2,15
"393",1911,"Bob Harmon","STL",23,23,16,51,41,4,NA,348,0.251,290,155,121,10,181,144,3.87,1.9,1005371,3,15
"394",1912,"Bob Harmon","STL",24,18,18,43,34,0,NA,268,0.291,284,156,117,4,116,73,3.8,1.7,1005371,4,15
"395",1913,"Bob Harmon","STL",25,8,21,42,27,2,NA,273.1,0.288,291,135,119,6,99,66,3.44,1.5,1005371,5,15
"396",1961,"Bob Hendley","MIL",22,5,7,19,13,0,NA,97,0.274,96,46,42,8,39,44,3.95,0.8,1005637,1,15
"397",1962,"Bob Hendley","MIL",23,11,13,35,29,1,NA,200,0.265,188,90,80,17,59,112,3.49,2.8,1005637,2,15
"398",1963,"Bob Hendley","MIL",24,9,9,41,24,3,NA,169.1,0.262,153,80,74,16,64,105,3.62,0.9,1005637,3,15
"399",1964,"Bob Hendley","SFG",25,10,11,30,29,0,NA,163.1,0.279,161,71,66,18,59,104,3.88,1,1005637,4,15
"400",1965,"Bob Hendley","- - -",26,4,4,26,12,0,NA,77,0.274,86,61,51,15,38,46,5.41,-0.9,1005637,5,15
"401",1953,"Bob Keegan","CHW",32,7,5,22,11,1,NA,98.2,0.232,80,34,30,4,33,32,3.53,1.5,1006744,1,15
"402",1954,"Bob Keegan","CHW",33,16,9,31,27,2,NA,209.2,0.266,211,84,72,16,82,61,4,1.9,1006744,2,15
"403",1955,"Bob Keegan","CHW",34,2,5,18,11,0,NA,58.2,0.357,83,39,38,4,28,29,3.75,0.8,1006744,3,15
"404",1956,"Bob Keegan","CHW",35,5,7,20,16,0,NA,105.1,0.274,119,56,46,15,35,32,4.67,0.4,1006744,4,15
"405",1957,"Bob Keegan","CHW",36,10,8,30,20,2,NA,142.2,0.223,131,62,56,22,37,36,4.78,-0.1,1006744,5,15
"406",1938,"Bob Klinger","PIT",30,12,5,28,21,1,NA,159.1,0.266,152,63,53,7,42,58,3.67,2.2,1007007,1,15
"407",1939,"Bob Klinger","PIT",31,14,17,37,33,0,NA,225,0.289,251,120,109,11,81,64,4.16,2.3,1007007,2,15
